LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,,DECEMBER 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,
07-046-01-000,07-46-01-000,"Amlan, Negros Oriental",Amlan,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,B,J,#REF!,#REF!,https://bpbc.ibpls.com/amlannegrosoriental,https://prod.ebpls.com/amlannegrosoriental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19-088-01-000,15-38-01-000,"Ampatuan, Maguindanao del Sur",Ampatuan,Maguindanao del Sur,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,4th,BARMM II,A,R,#REF!,#REF!,https://bpbc.ibpls.com/ampatuanmaguindanaodelsur,https://prod.ebpls.com/ampatuanmaguindanao,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-04-000,02-15-04-000,"Amulung, Cagayan",Amulung,Cagayan,Region II (Cagayan Valley),Municipality,2nd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/amulungcagayan,https://prod.ebpls.com/amulungcagayan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-064-01-000,08-64-01-000,"Anahawan, Southern Leyte",Anahawan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/anahawansouthernleyte,https://prod.ebpls.com/anahawansouthernleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-069-01-000,03-69-01-000,"Anao, Tarlac",Anao,Tarlac,Region III (Central Luzon),Municipality,5th,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/anaotarlac,https://prod.ebpls.com/anaotarlac/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-05-000,01-55-05-000,"Anda, Pangasinan",Anda,Pangasinan,Region I (Ilocos Region),Municipality,3rd,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/andapangasinan,https://prod.ebpls.com/andapangasinan,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-031-02-000,02-31-02-000,"Angadanan, Isabela",Angadanan,Isabela,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,#REF!,#REF!,https://bpbc.ibpls.com/angadananisabela,https://prod.ebpls.com/angadananisabela,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-03-000,06-30-03-000,"Anilao, Iloilo",Anilao,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/anilaoiloilo,https://prod.ebpls.com/anilaoiloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-006-01-000,06-06-01-000,"Anini-Y, Antique",Anini-Y,Antique,Region VI (Western Visayas),Municipality,4th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/aniniyantique,https://prod.ebpls.com/anini-yantique,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-047-15-000,12-47-15-000,"Antipas, Cotabato",Antipas,Cotabato,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,A,Q,#REF!,#REF!,https://bpbc.ibpls.com/antipascotabato,https://prod.ebpls.com/antipasnorthcotabato,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-02-000,03-54-02-000,"Apalit, Pampanga",Apalit,Pampanga,Region III (Central Luzon),Municipality,1st,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/apalitpampanga,https://prod.ebpls.com/apalitpampanga/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-05-000,02-15-05-000,"Aparri, Cagayan",Aparri,Cagayan,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#REF!,#REF!,https://bpbc.ibpls.com/aparricagayan,https://prod.ebpls.com/aparricagayan,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-047-18-000,12-47-18-000,"Arakan, Cotabato",Arakan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#REF!,#REF!,https://bpbc.ibpls.com/arakancotabato,https://prod.ebpls.com/arakancotabato,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Operational but no Launching Ceremony,[1] Operational,[A] Operational,Operational but no Launching Ceremony,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-03-000,03-54-03-000,"Arayat, Pampanga",Arayat,Pampanga,Region III (Central Luzon),Municipality,1st,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/arayatpampanga,https://prod.ebpls.com/arayatpampanga/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-05-000,07-22-05-000,"Argao, Cebu",Argao,Cebu,Region VII (Central Visayas),Municipality,1st,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/argaocebu,https://prod.ebpls.com/argaocebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-033-02-000,01-33-02-000,"Aringay, La Union",Aringay,La Union,Region I (Ilocos Region),Municipality,2nd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/aringaylaunion,https://prod.ebpls.com/aringaylaunion,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-050-02-000,02-50-02-000,"Aritao, Nueva Vizcaya",Aritao,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,2nd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/aritaonuevavizcaya,https://prod.ebpls.com/aritaonuevavizcaya/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-017-01-000,05-17-01-000,"Baao, Camarines Sur",Baao,Camarines Sur,Region V (Bicol Region),Municipality,3rd,R5,B,H,#REF!,#REF!,,https://prod.ebpls.com/baaocamarinessur,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-041-01-000,05-41-01-000,"Aroroy, Masbate",Aroroy,Masbate,Region V (Bicol Region),Municipality,1st,R5,A,H,#REF!,#REF!,https://bpbc.ibpls.com/aroroymasbate,https://prod.ebpls.com/aroroymasbate,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-026-01-000,08-26-01-000,"Arteche, Eastern Samar",Arteche,Eastern Samar,Region VIII (Eastern Visayas),Municipality,3rd,R8,B,K,#REF!,#REF!,https://bpbc.ibpls.com/artecheeasternsamar,https://prod.ebpls.com/artecheeasternsamar,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Zero transactions for the month of May 2025,[1] Operational,[A] Operational,Zero transactions for the month of May 2025,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14-027-11-000,14-27-11-000,"Asipulo, Ifugao",Asipulo,Ifugao,Cordillera Administrative Region (CAR),Municipality,5th,CAR,A,B,#REF!,#REF!,https://bpbc.ibpls.com/asipuloifugao,https://prod.ebpls.com/asipuloifugao,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-031-03-000,02-31-03-000,"Aurora, Isabela",Aurora,Isabela,Region II (Cagayan Valley),Municipality,3rd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/auroraisabela,https://prod.ebpls.com/auroraisabela,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-073-02-000,09-73-02-000,"Aurora, Zamboanga del Sur",Aurora,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,2nd,R9,A,L,#REF!,#REF!,https://bpbc.ibpls.com/aurorazamboangadelsur,https://prod.ebpls.com/aurorazamboangadelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-046-02-000,07-46-02-000,"Ayungon, Negros Oriental",Ayungon,Negros Oriental,Region VII (Central Visayas),Municipality,2nd,R7,B,J,#REF!,#REF!,https://bpbc.ibpls.com/ayungonnegrosoriental,https://prod.ebpls.com/ayungonnegrosoriental,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-005-01-000,05-05-01-000,"Bacacay, Albay",Bacacay,Albay,Region V (Bicol Region),Municipality,2nd,R5,B,H,#REF!,#REF!,https://bpbc.ibpls.com/bacacayalbay,https://prod.ebpls.com/bacacayalbay,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-028-02-000,01-28-02-000,"Bacarra, Ilocos Norte",Bacarra,Ilocos Norte,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/bacarrailocosnorte,https://prod.ebpls.com/bacarrailocosnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-037-05-000,08-37-05-000,"Babatngon, Leyte",Babatngon,Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,A,K,#REF!,#REF!,,https://prod.ebpls.com/babatngonleyte,2022-12,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,[8] Withdraw,[D] Withdraw,Withdrawn,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-052-01-000,17-52-01-000,"Baco, Oriental Mindoro",Baco,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/bacoorientalmindoro,https://prod.ebpls.com/bacoorientalmindoro/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-035-01-000,10-35-01-000,"Bacolod, Lanao del Norte",Bacolod,Lanao del Norte,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/bacolodlanaodelnorte,https://prod.ebpls.com/bacolodlanaodelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-04-000,03-54-04-000,"Bacolor, Pampanga",Bacolor,Pampanga,Region III (Central Luzon),Municipality,3rd,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/bacolorpampanga,https://prod.ebpls.com/bacolorpampanga,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-04-000,06-30-04-000,"Badiangan, Iloilo",Badiangan,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/badianganiloilo,https://prod.ebpls.com/badianganiloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-028-03-000,01-28-03-000,"Badoc, Ilocos Norte",Badoc,Ilocos Norte,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/badocilocosnorte,https://prod.ebpls.com/badocilocosnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-050-03-000,02-50-03-000,"Bagabag, Nueva Vizcaya",Bagabag,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,2nd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/bagabagnuevavizcaya,https://prod.ebpls.com/bagabagnuevavizcaya,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-008-02-000,03-08-02-000,"Bagac, Bataan",Bagac,Bataan,Region III (Central Luzon),Municipality,3rd,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/bagacbataan,https://prod.ebpls.com/bagacbataan,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11-025-01-000,11-25-01-000,"Baganga, Davao Oriental",Baganga,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,A,P,#REF!,#REF!,https://bpbc.ibpls.com/bagangadavaooriental,https://prod.ebpls.com/bagangadavaooriental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-06-000,02-15-06-000,"Baggao, Cagayan",Baggao,Cagayan,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/baggaocagayan,https://prod.ebpls.com/baggaocagayan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-033-04-000,01-33-04-000,"Bagulin, La Union",Bagulin,La Union,Region I (Ilocos Region),Municipality,5th,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/bagulinlaunion,https://prod.ebpls.com/bagulinlaunion,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-065-01-000,12-65-01-000,"Bagumbayan, Sultan Kudarat",Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#REF!,#REF!,https://bpbc.ibpls.com/bagumbayansultankudarat,https://prod.ebpls.com/bagumbayansultankudarat/.php/login,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-08-000,07-22-08-000,"Balamban, Cebu",Balamban,Cebu,Region VII (Central Visayas),Municipality,1st,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/balambancebu,https://prod.ebpls.com/balambancebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-026-02-000,08-26-02-000,"Balangiga, Eastern Samar",Balangiga,Eastern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/balangigaeasternsamar,https://prod.ebpls.com/balangigaeasternsamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-026-03-000,08-26-03-000,"Balangkayan, Eastern Samar",Balangkayan,Eastern Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/balangkayaneasternsamar,https://prod.ebpls.com/balangkayaneasternsamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
