,ENGAGEMENT STATUS,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"San Francisco, Agusan del Sur",2022,2022-12,,,16-003-08-000,16-03-08-000,San Francisco,Agusan del Sur,Region XIII (Caraga),Municipality,1st,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santiago, Agusan del Norte",2022,2022-12,,,16-002-10-000,16-02-10-000,Santiago,Agusan del Norte,Region XIII (Caraga),Municipality,4th,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sison, Surigao del Norte",2023,2023-01,,,16-067-22-000,16-67-22-000,Sison,Surigao del Norte,Region XIII (Caraga),Municipality,5th,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Marihatag, Surigao del Sur",2022,2022-12,,,16-068-14-000,16-68-14-000,Marihatag,Surigao del Sur,Region XIII (Caraga),Municipality,3rd,R13,A,O,#N/A,#N/A,[1] Operational,[A] Operational,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aleosan, Cotabato",2022,2022-12,,,12-047-17-000,12-47-17-000,Aleosan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,3rd,R12,A,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kabacan, Cotabato",,,,,12-047-03-000,12-47-03-000,Kabacan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Kidapawan, Cotabato",2023,2023-06,,,12-047-04-000,12-47-04-000,City of Kidapawan,Cotabato,Region XII (SOCCSKSARGEN),City,3rd,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"M'Lang, Cotabato",2021,2022-12,,,12-047-10-000,12-47-10-000,M'Lang,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Midsayap, Cotabato",2022,2022-12,,,12-047-09-000,12-47-09-000,Midsayap,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pigkawayan, Cotabato",2021,2022-12,,,12-047-11-000,12-47-11-000,Pigkawayan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"President Roxas, Cotabato",2022,2022-12,,,12-047-13-000,12-47-13-000,President Roxas,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bagumbayan, Sultan Kudarat",,,,,12-065-01-000,12-65-01-000,Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Columbio, Sultan Kudarat",2021,2022-12,,,12-065-02-000,12-65-02-000,Columbio,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lebak, Sultan Kudarat",2023,2023-04,,,12-065-06-000,12-65-06-000,Lebak,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sen. Ninoy Aquino, Sultan Kudarat",2023,2023-06,,,12-065-12-000,12-65-12-000,Sen. Ninoy Aquino,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,3rd,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alabel, Sarangani",2023,2023-01,,,12-080-01-000,12-80-01-000,Alabel,Sarangani,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pikit, Cotabato",2021,2022-12,,,12-047-12-000,12-47-12-000,Pikit,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aguinaldo, Ifugao",2022,2022-12,10/24/2022,10/24/2022,14-027-08-000,14-27-08-000,Aguinaldo,Ifugao,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Asipulo, Ifugao",2022,2022-12,,,14-027-11-000,14-27-11-000,Asipulo,Ifugao,Cordillera Administrative Region (CAR),Municipality,5th,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bontoc, Mountain Province",,,,,14-044-04-000,14-44-04-000,Bontoc,Mountain Province,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Tabuk, Kalinga",2022,2022-12,,,14-032-13-000,14-32-13-000,City of Tabuk,Kalinga,Cordillera Administrative Region (CAR),City,5th,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Luna, Apayao",,,,,14-081-05-000,14-81-05-000,Luna,Apayao,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Paracelis, Mountain Province",,,,,14-044-06-000,14-44-06-000,Paracelis,Mountain Province,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sablan, Benguet",2021,2022-12,,,14-011-12-000,14-11-12-000,Sablan,Benguet,Cordillera Administrative Region (CAR),Municipality,5th,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tuba, Benguet",2022,2022-12,,,14-011-13-000,14-11-13-000,Tuba,Benguet,Cordillera Administrative Region (CAR),Municipality,1st,CAR,A,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tublay, Benguet",,,,,14-011-14-000,14-11-14-000,Tublay,Benguet,Cordillera Administrative Region (CAR),Municipality,5th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Adams, Ilocos Norte",2021,2022-12,,,01-028-01-000,01-28-01-000,Adams,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Agoo, La Union",2021,2022-12,,,01-033-01-000,01-33-01-000,Agoo,La Union,Region I (Ilocos Region),Municipality,1st,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aguilar, Pangasinan",,,,,01-055-02-000,01-55-02-000,Aguilar,Pangasinan,Region I (Ilocos Region),Municipality,3rd,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aringay, La Union",2023,2023-01,,,01-033-02-000,01-33-02-000,Aringay,La Union,Region I (Ilocos Region),Municipality,2nd,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Badoc, Ilocos Norte",,,,,01-028-03-000,01-28-03-000,Badoc,Ilocos Norte,Region I (Ilocos Region),Municipality,3rd,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balaoan, La Union",2023,2023-01,,,01-033-05-000,01-33-05-000,Balaoan,La Union,Region I (Ilocos Region),Municipality,1st,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balungao, Pangasinan",,,,,01-055-07-000,01-55-07-000,Balungao,Pangasinan,Region I (Ilocos Region),Municipality,4th,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Banayoyo, Ilocos Sur",,,,,01-029-02-000,01-29-02-000,Banayoyo,Ilocos Sur,Region I (Ilocos Region),Municipality,4th,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bangui, Ilocos Norte",2021,2022-12,,,01-028-04-000,01-28-04-000,Bangui,Ilocos Norte,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bantay, Ilocos Sur",,,,,01-029-03-000,01-29-03-000,Bantay,Ilocos Sur,Region I (Ilocos Region),Municipality,3rd,R1,B,C,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bautista, Pangasinan",2022,2022-12,,,01-055-10-000,01-55-10-000,Bautista,Pangasinan,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bayambang, Pangasinan",2022,2022-12,,,01-055-11-000,01-55-11-000,Bayambang,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Burgos, La Union",2022,2022-12,,,01-033-08-000,01-33-08-000,Burgos,La Union,Region I (Ilocos Region),Municipality,5th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Caba, La Union",2022,2022-12,,,01-033-09-000,01-33-09-000,Caba,La Union,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Caoayan, Ilocos Sur",2021,2022-12,,,01-029-07-000,01-29-07-000,Caoayan,Ilocos Sur,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Batac, Ilocos Norte",2021,2022-12,,,01-028-05-000,01-28-05-000,City of Batac,Ilocos Norte,Region I (Ilocos Region),City,5th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Candon, Ilocos Sur",2022,2022-12,,,01-029-06-000,01-29-06-000,City of Candon,Ilocos Sur,Region I (Ilocos Region),City,4th,R1,A,C,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Laoag, Ilocos Norte",2023,2023-01,,,01-028-12-000,01-28-12-000,City of Laoag,Ilocos Norte,Region I (Ilocos Region),City,3rd,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dingras, Ilocos Norte",2022,2022-12,,,01-028-09-000,01-28-09-000,Dingras,Ilocos Norte,Region I (Ilocos Region),Municipality,2nd,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dumalneg, Ilocos Norte",2022,2022-12,,,01-028-10-000,01-28-10-000,Dumalneg,Ilocos Norte,Region I (Ilocos Region),Municipality,5th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lidlidda, Ilocos Sur",,,,,01-029-11-000,01-29-11-000,Lidlidda,Ilocos Sur,Region I (Ilocos Region),Municipality,5th,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mangaldan, Pangasinan",2022,2022-12,,,01-055-26-000,01-55-26-000,Mangaldan,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
