,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Oton, Iloilo",,,,,,06-030-34-000,06-30-34-000,"Oton, Iloilo",Oton,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,B,I,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pandan, Antique",,,,,,06-006-11-000,06-06-11-000,"Pandan, Antique",Pandan,Antique,Region VI (Western Visayas),Municipality,4th,R6,A,I,2021,https://bldg.ibpls.com/pandanantique/,https://co.ibpls.com/pandanantique/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Patnongon, Antique",,,,,,06-006-12-000,06-06-12-000,"Patnongon, Antique",Patnongon,Antique,Region VI (Western Visayas),Municipality,3rd,R6,A,I,2021,https://bldg.ibpls.com/patnongonantique/,https://co.ibpls.com/patnongonantique/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Joaquin, Iloilo",,,,,,06-030-40-000,06-30-40-000,"San Joaquin, Iloilo",San Joaquin,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Barbara, Iloilo",,,,,,06-030-43-000,06-30-43-000,"Santa Barbara, Iloilo",Santa Barbara,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,2023,https://bldg.ibpls.com/santabarbarailoilo/,https://co.ibpls.com/santabarbarailoilo/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sapi-An, Capiz",,,,,,06-019-15-000,06-19-15-000,"Sapi-An, Capiz",Sapi-An,Capiz,Region VI (Western Visayas),Municipality,4th,R6,A,I,2021,https://bldg.ibpls.com/sapi-ancapiz,https://co.ibpls.com/sapi-ancapiz,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sara, Iloilo",,,,,,06-030-44-000,06-30-44-000,"Sara, Iloilo",Sara,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,2023,https://bldg.ibpls.com/sarailoilo/,https://co.ibpls.com/sarailoilo/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sebaste, Antique",,,,,,06-006-15-000,06-06-15-000,"Sebaste, Antique",Sebaste,Antique,Region VI (Western Visayas),Municipality,4th,R6,B,I,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tangalan, Aklan",,,,,,06-004-17-000,06-04-17-000,"Tangalan, Aklan",Tangalan,Aklan,Region VI (Western Visayas),Municipality,5th,R6,A,I,2021,https://bldg.ibpls.com/tangalanaklan/,https://co.ibpls.com/tangalanaklan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tapaz, Capiz",,,,,,06-019-17-000,06-19-17-000,"Tapaz, Capiz",Tapaz,Capiz,Region VI (Western Visayas),Municipality,1st,R6,A,I,2021,https://bldg.ibpls.com/tapazcapiz/,https://co.ibpls.com/tapazcapiz/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tobias Fornier, Antique",,,,,,06-006-07-000,06-06-07-000,"Tobias Fornier, Antique",Tobias Fornier,Antique,Region VI (Western Visayas),Municipality,4th,R6,B,I,2020,https://bldg.ibpls.com/tobiasfornierantique,https://co.ibpls.com/tobiasfornierantique,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Zarraga, Iloilo",,,,,,06-030-47-000,06-30-47-000,"Zarraga, Iloilo",Zarraga,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,[5] For Training,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Buenavista, Bohol",,,,,,07-012-09-000,07-12-09-000,"Buenavista, Bohol",Buenavista,Bohol,Region VII (Central Visayas),Municipality,4th,R7,B,J,2021,https://bldg.ibpls.com/buenavistabohol/,https://co.ibpls.com/buenavistabohol/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Candijay, Bohol",,,,,,07-012-11-000,07-12-11-000,"Candijay, Bohol",Candijay,Bohol,Region VII (Central Visayas),Municipality,4th,R7,B,J,2022,https://bldg.ibpls.com/candijaybohol/,https://co.ibpls.com/candijaybohol/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Danao, Bohol",,,,,,07-012-18-000,07-12-18-000,"Danao, Bohol",Danao,Bohol,Region VII (Central Visayas),Municipality,4th*,R7,B,J,2022,https://bldg.ibpls.com/danaobohol/,https://co.ibpls.com/danaobohol/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Trinidad, Bohol",,,,,,07-012-44-000,07-12-44-000,"Trinidad, Bohol",Trinidad,Bohol,Region VII (Central Visayas),Municipality,3rd,R7,B,J,2022,https://bldg.ibpls.com/trinidadbohol/,https://co.ibpls.com/trinidadbohol/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alcantara, Cebu",,,,,,07-022-01-000,07-22-01-000,"Alcantara, Cebu",Alcantara,Cebu,Region VII (Central Visayas),Municipality,5th,R7,B,J,2021,https://bldg.ibpls.com/alcantaracebu/,https://co.ibpls.com/alcantaracebu/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Argao, Cebu",,,,,,07-022-05-000,07-22-05-000,"Argao, Cebu",Argao,Cebu,Region VII (Central Visayas),Municipality,1st,R7,A,J,2021,https://bldg.ibpls.com/argaocebu/,https://co.ibpls.com/argaocebu/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balamban, Cebu",,,,,,07-022-08-000,07-22-08-000,"Balamban, Cebu",Balamban,Cebu,Region VII (Central Visayas),Municipality,1st,R7,A,J,2021,https://bldg.ibpls.com/balambancebu/,https://co.ibpls.com/balambancebu/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Compostela, Cebu",,,,,,07-022-18-000,07-22-18-000,"Compostela, Cebu",Compostela,Cebu,Region VII (Central Visayas),Municipality,3rd,R7,B,J,2021,https://bldg.ibpls.com/compostelacebu/,https://co.ibpls.com/compostelacebu/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Daanbantayan, Cebu",,,,,,07-022-21-000,07-22-21-000,"Daanbantayan, Cebu",Daanbantayan,Cebu,Region VII (Central Visayas),Municipality,1st,R7,B,J,2022,https://bldg.ibpls.com/daanbantayancebu/,	https://co.ibpls.com/daanbantayancebu/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Minglanilla, Cebu",,,,,,07-022-32-000,07-22-32-000,"Minglanilla, Cebu",Minglanilla,Cebu,Region VII (Central Visayas),Municipality,1st,R7,B,J,2021,https://bldg.ibpls.com/minglanillacebu/,https://co.ibpls.com/minglanillacebu/,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pinamungajan, Cebu",,,,,,07-022-37-000,07-22-37-000,"Pinamungajan, Cebu",Pinamungajan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,A,J,2020,https://bldg.ibpls.com/pinamungajancebu/,https://co.ibpls.com/pinamungajancebu/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Samboan, Cebu",,,,,,07-022-40-000,07-22-40-000,"Samboan, Cebu",Samboan,Cebu,Region VII (Central Visayas),Municipality,5th,R7,B,J,2022,https://bldg.ibpls.com/samboancebu/,	https://co.ibpls.com/samboancebu/,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Francisco, Cebu",,,,,,07-022-42-000,07-22-42-000,"San Francisco, Cebu",San Francisco,Cebu,Region VII (Central Visayas),Municipality,3rd,R7,B,J,2021,https://bldg.ibpls.com/sanfranciscocebu/,https://co.ibpls.com/sanfranciscocebu/,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,Waiting for LGU's request of deletion of test data in the system,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tuburan, Cebu",,,,,,07-022-52-000,07-22-52-000,"Tuburan, Cebu",Tuburan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,A,J,2021,https://bldg.ibpls.com/tuburancebu/,https://co.ibpls.com/tuburancebu/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tudela, Cebu",,,,,,07-022-53-000,07-22-53-000,"Tudela, Cebu",Tudela,Cebu,Region VII (Central Visayas),Municipality,5th,R7,A,J,2021,https://bldg.ibpls.com/tudelacebu/,https://co.ibpls.com/tudelacebu/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Amlan, Negros Oriental",,,,,,07-046-01-000,07-46-01-000,"Amlan, Negros Oriental",Amlan,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,B,J,2022,https://bldg.ibpls.com/amlannegrosoriental/,	https://co.ibpls.com/amlannegrosoriental/,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Basay, Negros Oriental",,,,,,07-046-05-000,07-46-05-000,"Basay, Negros Oriental",Basay,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,B,J,2022,https://bldg.ibpls.com/basaynegrosoriental/,https://co.ibpls.com/basaynegrosoriental/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Canlaon, Negros Oriental",,,,,,07-046-08-000,07-46-08-000,"City of Canlaon, Negros Oriental",City of Canlaon,Negros Oriental,Region VII (Central Visayas),City,4th,R7,B,J,2022,https://bldg.ibpls.com/canlaoncitynegrosoriental/,	https://co.ibpls.com/canlaoncitynegrosoriental/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Jose, Negros Oriental",,,,,,07-046-17-000,07-46-17-000,"San Jose, Negros Oriental",San Jose,Negros Oriental,Region VII (Central Visayas),Municipality,5th,R7,B,J,2023,https://bldg.ibpls.com/sanjosenegrosoriental,	https://co.ibpls.com/sanjosenegrosoriental,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Madridejos, Cebu",,,,,,07-022-28-000,07-22-28-000,"Madridejos, Cebu",Madridejos,Cebu,Region VII (Central Visayas),Municipality,4th,R7,B,J,2023,https://bldg.ibpls.com/madridejoscebu/,https://co.ibpls.com/madridejoscebu/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Borongan, Eastern Samar",,,,,,08-026-04-000,08-26-04-000,"City of Borongan, Eastern Samar",City of Borongan,Eastern Samar,Region VIII (Eastern Visayas),City,1st (as Mun),R8,A,K,2021,https://bldg.ibpls.com/boronganeasternsamar/,https://co.ibpls.com/boronganeasternsamar/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Guiuan, Eastern Samar",,,,,,08-026-09-000,08-26-09-000,"Guiuan, Eastern Samar",Guiuan,Eastern Samar,Region VIII (Eastern Visayas),Municipality,2nd,R8,B,K,2021,https://bldg.ibpls.com/guiuaneasternsamar/,https://co.ibpls.com/guiuaneasternsamar/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Zero transactions for the month of June 2025,[1] Operational,[A] Operational,Zero transactions for the month of June 2025,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Abuyog, Leyte",,,,,,08-037-01-000,08-37-01-000,"Abuyog, Leyte",Abuyog,Leyte,Region VIII (Eastern Visayas),Municipality,1st*,R8,B,K,2021,https://bldg.ibpls.com/abuyogleyte,https://co.ibpls.com/abuyogleyte,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,For refresher training after renewal period,[2] Pilot Testing,[B] Developmental,For refresher training this March 2025,[2] Pilot Testing,[B] Developmental,Done with Refresher Training,[2] Pilot Testing,[B] Developmental,"For deletion of test data, pending implementation",[2] Pilot Testing,[B] Developmental,"For deletion of test data, pending implementation",[2] Pilot Testing,[B] Developmental,"For deletion of test data, pending implementation",[2] Pilot Testing,[B] Developmental,"For deletion of test data, pending implementation",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alangalang, Leyte",,,,,,08-037-02-000,08-37-02-000,"Alangalang, Leyte",Alangalang,Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,A,K,2021,https://bldg.ibpls.com/alangalangleyte/,https://co.ibpls.com/alangalangleyte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Carigara, Leyte",,,,,,08-037-15-000,08-37-15-000,"Carigara, Leyte",Carigara,Leyte,Region VIII (Eastern Visayas),Municipality,2nd,R8,B,K,2022,https://bldg.ibpls.com/carigaraleyte/,https://co.ibpls.com/carigaraleyte/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Hindang, Leyte",,,,,,08-037-20-000,08-37-20-000,"Hindang, Leyte",Hindang,Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,2022,https://bldg.ibpls.com/hindangleyte/,https://co.ibpls.com/hindangleyte/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Javier, Leyte",,,,,,08-037-24-000,08-37-24-000,"Javier, Leyte",Javier,Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,B,K,2022,https://bldg.ibpls.com/javierleyte/,https://co.ibpls.com/javierleyte/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Zero transactions for the month of March 2025,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
